,Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
32,S,False,2020-06-20 11:39:45,12,Scrum master,2020-08-20 03:00:09,C,FT
33,J,False,2019-12-02 10:35:32,6,برنامه‌نویس یونیتی,2020-02-01 03:00:10,C,FT
36,J,False,2020-04-18 13:46:27,3,برنامه‌نویس Frontend,2020-06-18 03:00:05,C,PT
38,S,False,2019-12-07 16:08:11,6,توسعه‌دهنده Backend,2020-02-06 03:00:05,C,FT
39,J,True,2019-12-02 12:30:35,3,توسعه‌دهنده Backend,2020-02-01 03:00:10,C,FT
42,S,False,2020-04-13 10:44:35,4,توسعه‌دهنده C#,2020-06-13 03:00:06,C,PT
43,J,True,2020-08-15 14:08:15,12,Full Stack Developer.Net,2020-10-15 03:00:09,C,FT
44,S,False,2020-02-15 14:00:43,8,برنامه‌نویس Reactjs,2020-04-16 03:00:06,C,FT
45,S,False,2019-12-02 10:35:58,12,Front-end Developer,2020-02-01 03:00:10,C,FT
47,S,False,2019-07-20 14:56:58,4,برنامه‌نویس فرانت اند React (مشهد),2019-09-19 03:00:05,C,FT
49,S,False,2019-07-20 15:00:54,4,برنامه‌نویس بک اند (NodeJS),2019-09-19 03:00:05,C,FT
53,S,True,2020-03-15 11:44:27,4,برنامه‌نویس جاوا,2020-05-15 03:00:05,C,FT
54,S,False,2020-06-20 11:41:51,8,متخصص BI,2020-08-20 03:00:09,C,FT
55,J,True,2020-07-28 17:54:35,2,توسعه‌دهنده Node JS,2020-08-26 16:53:52,C,PT
56,J,False,2020-02-15 14:14:40,4,(Full-Stack Developer (PHP,2020-04-16 03:00:06,C,FT
58,J,False,2020-04-13 11:37:10,4,توسعه‌دهنده Back-end,2020-06-13 03:00:06,C,FT
59,S,True,2020-04-13 11:11:48,12,توسعه‌دهنده Front-end,2020-05-30 11:27:38,C,PR
60,J,False,2020-02-15 18:56:26,8,Back-End Developer,2020-04-16 03:00:06,C,FT
61,S,False,2020-02-15 18:56:14,12,Back-End Developer,2020-04-16 03:00:06,C,PT
65,J,False,2019-12-17 19:33:37,3,توسعه‌دهنده بک اند,2020-02-16 03:00:05,C,FT
67,S,False,2019-12-17 15:25:13,12,توسعه‌دهنده جاوا,2020-02-16 03:00:05,C,FT
68,S,False,2019-12-17 15:25:22,12,توسعه‌دهنده ++C,2020-02-16 03:00:05,C,FT
72,S,False,2020-04-13 12:57:18,4,کارشناس بینایی ماشین و یادگیری ماشین,2020-06-13 03:00:06,C,FT
73,S,True,2020-02-16 12:09:44,2,برنامه‌نویس flutter - کاملا دورکاری,2020-04-17 03:00:05,C,PT
76,S,True,2020-02-16 12:09:14,8,SysAdmin & Network,2020-04-04 00:01:32,C,PR
78,S,False,2020-02-16 12:08:47,12,توسعه‌دهنده ++C,2020-04-17 03:00:05,C,FT
79,S,True,2020-02-18 09:45:49,12,برنامه‌نویس Full-Stack,2020-04-19 03:00:05,C,PR
80,S,False,2020-01-13 16:06:49,8,مدیر ارشد فناوری (CTO),2020-03-14 03:00:05,C,FT
81,S,True,2020-10-31 00:15:04,12,توسعه‌دهنده بلاک چین,2020-12-30 03:00:10,C,FT
82,J,False,2020-04-13 15:28:19,4,توسعه‌دهنده Front-end,2020-06-13 03:00:06,C,FT
83,S,True,2020-07-12 10:53:28,3,توسعه‌دهنده SharePoint,2020-08-26 16:54:07,C,PT
84,J,False,2020-05-16 11:44:42,8,کارشناس BI,2020-06-07 14:18:05,C,FT
86,J,False,2020-08-13 15:42:32,4,برنامه‌نویس .NET,2020-10-13 03:00:10,C,FT
87,S,False,2020-08-16 10:28:10,8,برنامه‌نویس ارشد React js,2020-10-16 03:00:09,C,FT
88,J,True,2020-10-06 11:48:39,12,Front-end developer (ReactJS),2020-11-22 12:37:18,C,FT
89,S,False,2020-02-17 10:54:03,6,برنامه‌نویس Vue/React) Front End-اصفهان),2020-04-18 03:00:05,C,FT
95,J,False,2020-04-14 11:06:31,2,توسعه‌دهنده فرانت-اند,2020-06-14 03:00:05,C,FT
96,J,True,2020-02-18 11:07:43,4,توسعه‌دهنده Node.js) Back-End),2020-04-19 03:00:05,C,PT
97,M,False,2019-12-28 10:09:10,6,برنامه‌نویس ارشد CTO,2020-02-27 03:00:05,C,FT
99,S,False,2019-12-19 16:54:55,12,DevOps Engineer,2020-02-18 03:00:04,C,FT
100,J,True,2020-02-18 11:07:52,4,توسعه‌دهنده React) Front-End),2020-04-19 03:00:05,C,PT
104,S,False,2020-06-20 13:50:23,8,برنامه‌نویس PHP,2020-08-20 03:00:09,C,FT
105,S,False,2020-07-15 17:00:57,8,برنامه‌نویس لاراول,2020-09-14 03:00:09,C,FT
108,J,False,2020-04-14 12:35:42,6,برنامه‌نویس PHP,2020-06-14 03:00:05,C,FT
109,J,False,2020-02-18 12:09:18,2,برنامه‌نویس Front-End,2020-04-19 03:00:05,C,FT
113,S,False,2020-04-14 16:28:33,6,توسعه‌دهنده وب,2020-06-14 03:00:05,C,FT
115,J,False,2020-04-12 10:50:05,6,برنامه نویس UI/UX,2020-06-12 03:00:05,C,FT
116,J,True,2020-04-14 16:34:24,4,توسعه‌دهنده iOS,2020-06-14 03:00:05,C,PT
119,J,False,2020-02-19 14:20:47,4,توسعه‌دهنده PHP و اندروید,2020-04-20 03:00:05,C,PT
120,J,False,2020-02-19 14:23:45,4,مدیر محصول,2020-04-20 03:00:05,C,PT
122,J,False,2020-05-14 13:46:36,3,برنامه‌نویس NET.,2020-06-01 15:09:37,C,FT
123,S,True,2020-04-15 10:46:34,6,برنامه‌نویس Reactjs,2020-06-15 03:00:05,C,FT
126,J,False,2019-12-16 10:21:35,6,برنامه‌نویس Flutter,2020-02-15 03:00:05,C,FT
131,S,True,2020-04-15 14:40:34,12,برنامه‌نویس ارشد PHP لاراول - CTO,2020-06-15 03:00:05,C,PR
133,S,False,2020-05-16 14:37:08,6,برنامه‌نویس ارشد NET.,2020-06-01 15:09:32,C,FT
134,J,False,2020-02-19 14:19:55,3,توسعه‌دهنده Back end,2020-04-20 03:00:05,C,FT
136,J,False,2020-02-19 14:23:18,6,کارشناس BI,2020-04-20 03:00:05,C,FT
142,S,False,2020-02-19 16:46:46,12,Front End Developer,2020-04-20 03:00:05,C,FT
143,S,True,2020-04-16 18:05:48,12,برنامه‌نویس ارشد PHP,2020-06-16 03:00:06,C,FT
144,S,False,2020-02-22 14:43:14,6,برنامه‌نویس iOS,2020-04-23 03:00:06,C,FT
148,S,True,2020-02-15 14:13:52,6,توسعه‌دهنده ارشد Node.js) Back-End),2020-04-16 03:00:06,C,PT
149,S,False,2019-12-21 11:18:09,2,توسعه‌دهنده وب,2020-02-20 03:00:05,C,PR
151,J,False,2020-02-22 17:41:32,4,طراح سخت‌افزار‌های الکترونیکی,2020-04-23 03:00:06,C,FT
152,J,False,2020-02-22 16:11:27,4,ادمین شبکه Network Administrator,2020-04-23 03:00:06,C,FT
153,S,False,2019-12-16 10:17:53,3,توسعه‌دهنده گیم انجین و فیزیک انجین,2020-02-15 03:00:05,C,PT
154,J,False,2020-02-22 17:54:36,4,برنامه‌نویس میکروکنترلر ARM,2020-04-23 03:00:06,C,FT
155,J,False,2020-02-22 17:36:08,4,برنامه‌نویس React Native,2020-04-23 03:00:06,C,FT
157,S,False,2020-02-23 11:20:18,8,برنامه‌نویس React,2020-04-24 03:00:05,C,FT
159,J,True,2020-05-16 14:46:24,4,SAP-ERP Developer,2020-07-16 03:00:09,C,FT
160,J,False,2020-09-27 12:44:48,4,توسعه‌دهنده Front-end,2020-10-10 10:49:16,C,FT
164,S,False,2020-02-23 11:20:37,8,برنامه‌نویس Back End (Python),2020-04-24 03:00:05,C,FT
165,S,True,2019-10-08 14:59:04,6,برنامه‌نویس Python ، مسلط به جنگو,2019-12-08 03:00:05,C,FT
166,S,False,2020-04-19 11:04:44,8,PHP) Full-Stack Developer),2020-06-19 03:00:06,C,FT
168,S,False,2020-02-23 11:20:49,8,برنامه‌نویس Back End (node.js),2020-04-24 03:00:05,C,FT
169,J,False,2019-12-15 14:02:07,3,توسعه‌دهنده React/React Native/php,2020-02-14 03:00:05,C,FT
172,J,False,2020-02-22 17:36:22,4,برنامه‌نویس Full Stack,2020-04-23 03:00:06,C,FT
173,J,False,2020-04-16 18:07:24,4,برنامه‌نویس ویندوز C#,2020-06-16 03:00:05,C,FT
178,S,True,2019-10-08 14:56:47,6,PHP) Full-Stack Developer),2019-12-08 03:00:05,C,PT
180,J,False,2020-08-22 17:32:35,6,توسعه‌دهنده Back-end,2020-10-22 03:00:10,C,FT
186,J,False,2020-04-17 23:56:04,4,تحلیل‌گر و تستر سیستم,2020-06-17 03:00:06,C,FT
189,J,False,2020-02-23 13:44:09,1,توسعه‌دهنده back-end,2020-04-24 03:00:05,C,PT
190,J,False,2019-10-06 17:03:07,3,برنامه‌نویس QML/QT,2019-12-06 03:00:05,C,FT
193,S,False,2020-02-23 15:47:58,12,PHP Laravel Developer - Backend,2020-04-24 03:00:05,C,FT
194,S,False,2020-02-16 12:09:03,12,توسعه‌دهنده جاوا,2020-04-17 03:00:05,C,FT
196,J,True,2020-04-18 10:55:05,1,متخصص نرم افزارهای گرافیکی و معماری,2020-06-18 03:00:05,C,PR
198,S,True,2020-06-22 02:37:35,12,توسعه‌دهنده Back-end / Front-end,2020-08-21 03:00:08,C,PR
199,S,True,2020-05-16 18:25:07,12,Senior Python Developer,2020-07-16 03:00:09,C,FT
201,I,True,2020-08-12 14:59:50,1,کار آموز PHP,2020-10-12 03:00:10,C,FT
202,S,True,2020-04-18 10:54:52,12,Back-End) Senior Java Developer),2020-06-18 03:00:05,C,FT
204,S,False,2019-12-28 10:08:37,8,React.Js/React-Native Developer,2020-02-27 03:00:05,C,FT
207,S,False,2020-01-01 15:07:06,12,Senior PHP Developer Amsterdam,2020-03-02 03:00:05,C,FT
210,J,False,2020-09-08 19:02:56,4,Front-end Developer (React),2020-11-08 03:00:10,C,FT
212,S,False,2020-02-24 12:25:15,4,برنامه‌نویس ارشد PHP,2020-04-25 03:00:05,C,FT
218,J,False,2020-04-19 11:04:24,6,PHP Developer,2020-06-19 03:00:06,C,FT
219,S,False,2020-02-24 15:46:29,8,کارشناس فنی پشتیبانی سیستم,2020-04-25 03:00:05,C,FT
221,J,False,2020-02-18 11:07:15,4,Co-Founder and Developer,2020-04-19 03:00:05,C,FT
222,S,False,2019-10-27 12:44:51,6,PHP - Laravel Backend Developer,2019-12-27 03:00:05,C,FT
225,J,False,2020-02-24 19:06:36,6,توسعه‌دهنده Front End,2020-04-25 03:00:05,C,FT
227,J,False,2020-08-22 17:32:10,6,توسعه‌دهنده Front-end,2020-10-22 03:00:10,C,FT
228,S,False,2020-04-21 18:16:24,8,توسعه‌دهنده Back-End,2020-06-21 03:00:05,C,FT
236,S,False,2020-04-19 11:05:19,12,Senior Android Developer,2020-06-19 03:00:06,C,FT
237,J,True,2020-02-28 16:59:44,2,توسعه‌دهنده React js,2020-04-29 03:00:05,C,PT
238,S,False,2020-06-14 15:00:00,12,Senior Android Developer,2020-08-14 03:00:09,C,FT
241,S,False,2020-01-01 15:06:56,12,Experienced Software Developer,2020-03-02 03:00:05,C,FT
243,J,False,2020-02-24 18:51:59,4,برنامه‌نویس پایتون,2020-04-25 03:00:05,C,FT
245,S,False,2019-06-26 17:19:01,12,Java Developer,2019-08-26 03:00:04,C,FT
246,S,False,2020-04-19 11:06:29,12,Senior iOS Developer,2020-06-19 03:00:06,C,FT
247,M,False,2019-12-15 13:11:45,3,مدیر محصول,2020-02-14 03:00:05,C,FT
249,S,True,2020-02-25 17:43:16,6,توسعه‌دهنده Front End,2020-04-26 03:00:05,C,FT
250,S,False,2020-04-19 11:06:37,12,Senior PHP Developer,2020-06-19 03:00:06,C,FT
252,S,True,2020-02-25 19:19:28,6,برنامه‌نویس Flutter,2020-04-26 03:00:05,C,FT
256,S,False,2020-06-21 12:06:16,6,برنامه‌نویس Back-End) PHP),2020-08-21 03:00:08,C,FT
260,J,False,2020-02-29 10:22:58,4,توسعه‌دهنده Front End,2020-04-30 03:00:06,C,FT
265,J,False,2020-02-29 10:23:36,6,توسعه‌دهنده بک اند,2020-04-30 03:00:06,C,FT
268,S,False,2020-02-10 11:32:58,6,برنامه‌نویس Angular,2020-04-11 03:00:05,C,FT
270,S,False,2019-11-30 12:11:55,6,Senior Front-end Developer,2020-01-30 03:00:05,C,FT
271,S,False,2020-02-29 13:21:27,6,برنامه‌نویس وب,2020-04-30 03:00:06,C,FT
275,S,False,2020-04-20 16:52:22,4,توسعه‌دهنده WordPress,2020-06-20 03:00:06,C,FT
279,J,False,2020-02-29 14:02:06,4,برنامه‌نویس وب .net core و AngularJS,2020-04-30 03:00:06,C,FT
280,J,False,2020-04-20 10:29:39,4,توسعه‌دهنده وب (back-end developer),2020-06-20 03:00:06,C,FT
281,S,True,2020-02-29 16:02:16,6,Front-End Engineer,2020-04-30 03:00:06,C,FT
287,J,False,2020-02-29 21:49:08,4,پشتیبان و تستر نرم افزار,2020-04-30 03:00:05,C,FT
290,S,True,2019-11-30 12:55:43,12,برنامه‌نویس Flutter,2020-01-30 03:00:05,C,PR
292,J,True,2019-11-27 10:42:14,4,R developer,2019-12-16 16:01:35,C,FT
293,S,True,2020-11-07 10:38:27,12,توسعه‌دهنده Backend,2020-11-15 15:28:38,C,PR
294,S,False,2020-03-02 14:14:33,8,Data Scientist - Pricing team,2020-05-02 03:00:05,C,FT
301,S,False,2020-03-02 14:12:39,8,Product Manager,2020-05-02 03:00:05,C,FT
306,S,False,2019-11-12 14:44:09,12,کارشناس هوش مصنوعی,2020-01-12 03:00:05,C,FT
307,S,False,2020-07-12 10:51:12,12,Node.js Developer,2020-08-13 12:31:19,C,FT
309,J,False,2020-03-02 15:55:55,4,کارشناس برنامه ریزی استراتژیک,2020-05-02 03:00:05,C,FT
310,S,False,2020-03-02 14:13:58,8,Security Engineer,2020-05-02 03:00:05,C,FT
312,J,True,2020-03-03 10:30:03,3,توسعه‌دهنده Front End,2020-05-03 03:00:05,C,PR
313,J,False,2020-04-21 10:17:09,4,برنامه‌نویس فرانت اند ویو جی اس,2020-06-21 03:00:05,C,PT
316,J,False,2019-05-15 10:33:36,2,برنامه‌نویس ++C,2019-07-15 03:00:04,C,FT
322,S,False,2020-02-15 10:08:24,6,برنامه‌نویس ارشد موبایل,2020-04-16 03:00:06,C,FT
324,S,False,2020-04-21 16:00:12,6,کارشناس Devops,2020-06-21 03:00:05,C,FT
327,S,False,2020-03-04 21:10:34,6,برنامه‌نویس PHP,2020-05-04 03:00:05,C,FT
331,S,True,2020-07-11 18:14:21,8,"برنامه‌نویس فول استک C#, ASP.NET",2020-08-05 02:11:25,C,FT
332,S,False,2020-04-22 10:11:45,12,توسعه‌دهنده FrontEnd,2020-06-22 03:00:05,C,FT
335,S,False,2019-12-15 13:11:24,12,توسعه‌دهنده NodeJS,2020-02-14 03:00:05,C,FT
337,S,False,2020-01-04 17:48:51,12,توسعه‌دهنده ارشد Back-End) Java/JEE),2020-03-05 18:30:52,C,FT
338,S,False,2020-01-04 17:49:27,12,توسعه‌دهنده ارشد ++C,2020-03-05 18:30:52,C,FT
339,S,False,2020-01-04 17:50:21,8,کارشناس فنی پشتیبانی سیستم,2020-03-05 18:30:52,C,FT
343,S,False,2020-01-05 23:56:53,12,توسعه‌دهنده ارشد PHP,2020-03-06 03:00:05,C,FT
344,J,False,2020-03-07 13:07:45,2,توسعه‌دهنده NodeJS,2020-05-07 03:00:05,C,PT
347,S,False,2020-04-21 16:25:17,8,متخصص وردپرس,2020-06-21 03:00:05,C,FT
348,S,False,2020-03-07 17:40:26,6,توسعه‌دهنده موبایل اندروید,2020-05-07 03:00:05,C,FT
349,S,False,2020-03-07 17:41:07,12,توسعه‌دهنده ارشد Back-End) Java/JEE),2020-05-07 03:00:05,C,FT
351,S,False,2020-08-03 10:00:23,12,برنامه‌نویس Java,2020-08-18 18:06:59,C,FT
356,S,False,2020-04-21 16:57:19,8,UI/UX Designer,2020-06-21 03:00:05,C,FT
357,S,True,2019-04-25 11:13:31,4,طراح و برنامه‌نویس ارشد,2019-06-25 03:00:04,C,FT
359,S,False,2020-03-07 17:41:14,12,توسعه‌دهنده ارشد ++C,2020-05-07 03:00:05,C,FT
361,S,False,2020-03-07 17:41:20,8,کارشناس فنی پشتیبانی سیستم,2020-05-07 03:00:05,C,FT
363,S,False,2020-04-11 11:07:26,6,توسعه‌دهنده Back End,2020-04-21 22:03:36,C,FT
364,S,True,2020-04-22 10:12:08,2,برنامه‌نویس Flutter - کاملا دورکاری,2020-06-22 03:00:05,C,PT
366,S,True,2020-03-09 11:47:44,6,برنامه‌نویس Front-End و Back-End,2020-05-09 03:00:05,C,FT
367,S,False,2020-03-09 11:46:30,4,توسعه‌دهنده Front End,2020-05-09 03:00:05,C,FT
368,S,False,2020-05-19 11:27:32,12,طراحی وبسایت و مدیریت فضای مجازی,2020-07-19 03:00:09,C,FT
369,J,False,2020-01-08 16:08:07,6,کارشناس کنترل پروژه,2020-03-09 03:00:05,C,FT
377,S,False,2020-03-09 14:15:06,8,Senior Front-end Developer,2020-05-09 03:00:05,C,FT
378,J,False,2020-09-08 15:31:59,6,توسعه‌دهنده Front-end,2020-09-25 21:46:40,C,FT
380,J,False,2019-12-15 11:49:37,4,مدیر پروژه,2020-02-14 03:00:05,C,FT
381,S,False,2020-04-22 10:11:36,12,BackEnd Developer,2020-06-22 03:00:05,C,FT
386,S,False,2020-04-22 10:15:05,4,UI/UX Designer,2020-06-22 03:00:05,C,FT
389,S,True,2020-03-09 14:13:43,4,مدرس برنامه‌نویسی و پایگاه داده,2020-05-09 03:00:05,C,PR
392,J,True,2020-09-14 20:43:11,4,توسعه‌دهنده .NET Core,2020-11-14 03:00:09,C,PR
394,S,True,2020-01-09 16:11:12,8,برنامه‌نویس ارشد Full stack,2020-03-10 03:00:05,C,PT
395,J,True,2020-03-09 14:13:55,2,برنامه‌نویس نود جی اس node.js,2020-05-09 03:00:05,C,PT
397,S,True,2020-02-15 14:13:43,6,توسعه‌دهنده ارشد React) Front-End),2020-04-16 03:00:06,C,PT
398,S,False,2020-07-11 18:14:09,8,کارشناس BI,2020-08-05 02:11:29,C,FT
399,J,True,2020-02-22 16:09:17,8,توسعه‌دهنده Front End,2020-04-23 03:00:06,C,FT
400,S,False,2020-03-10 12:47:31,12,Senior PHP Developer - Germany,2020-05-10 03:00:05,C,FT
403,S,False,2020-03-10 13:39:26,12,(Senior ReactJs Developer-Germany,2020-05-10 03:00:05,C,FT
404,S,False,2020-03-10 13:39:18,12,Senior IOS Developer-Germany,2020-05-10 03:00:05,C,FT
405,S,False,2020-03-10 13:39:11,12,Senior Java Developer-Germany,2020-05-10 03:00:05,C,FT
406,S,False,2020-02-18 14:19:24,6,برنامه‌نویس .Net,2020-04-19 03:00:05,C,FT
407,J,False,2020-05-20 11:52:04,4,کارشناس کنترل پروژه,2020-07-20 03:00:09,C,FT
408,I,False,2020-03-14 10:34:49,2,کارآموز برنامه‌نویسی Back-End,2020-05-14 03:00:05,C,FT
410,S,False,2020-04-24 12:46:09,4,برنامه‌نویس اندروید,2020-06-24 03:00:05,C,FT
411,S,True,2020-03-14 10:33:58,8,توسعه‌دهنده فول استک نود و انگولار,2020-05-14 03:00:05,C,FT
421,J,False,2020-03-25 12:12:27,6,برنامه‌نویس iOS,2020-05-25 03:00:05,C,FT
425,S,True,2019-12-29 13:11:17,12,پژوهشگر و توسعه‌دهنده VR AR و بازی سازی,2020-02-28 03:00:05,C,PR
427,J,False,2019-09-21 13:49:57,4,کارشناس ارشد تولید و توسعه نرم افزار,2019-11-21 03:00:05,C,FT
429,S,True,2020-03-16 11:43:55,8,توسعه‌دهنده Full-stack,2020-05-16 03:00:06,C,PR
430,S,False,2020-04-25 10:57:30,6,توسعه‌دهنده Reactjs,2020-06-25 03:00:05,C,PT
437,S,False,2020-07-06 11:12:21,8,توسعه‌دهنده ارشد Front-end,2020-08-23 16:31:38,C,FT
438,S,False,2020-04-25 10:57:40,4,برنامه‌نویس iOS,2020-06-25 03:00:05,C,FT
440,S,True,2020-03-18 11:27:27,3,طراح فروشگاه اینترنتی وردپرس ووکامرس,2020-05-18 03:00:05,C,PR
444,S,False,2020-09-08 15:32:21,12,توسعه‌دهنده ارشد Front-end,2020-09-25 21:46:47,C,FT
446,S,False,2020-04-22 10:13:35,4,Senior Front-end Developer,2020-06-22 03:00:05,C,FT
447,J,True,2020-03-18 11:28:02,2,اپراتور سایت,2020-05-18 03:00:05,C,FT
448,J,False,2020-03-07 12:47:04,2,توسعه‌دهنده PHP,2020-03-16 19:42:23,C,PT
449,S,True,2020-03-10 12:20:17,6,توسعه‌دهنده ارشد Django) Back-End),2020-05-10 03:00:05,C,PT
450,S,True,2020-08-22 10:45:20,6,React Native Developer,2020-10-22 03:00:10,C,PT
451,S,True,2020-08-22 10:44:56,6,Flutter Developer,2020-10-22 03:00:10,C,PR
452,S,True,2020-09-08 12:16:27,8,توسعه‌دهنده سرور,2020-11-08 03:00:10,C,FT
453,J,False,2020-03-18 11:27:52,2,وب دیزاینر,2020-03-31 18:31:25,C,FT
456,J,False,2020-03-23 17:43:06,8,برنامه‌نویس c++14/17,2020-05-23 03:00:05,C,FT
458,J,True,2020-03-18 11:28:17,4,توسعه‌دهنده Django) Back-End),2020-05-18 03:00:05,C,PT
459,J,True,2020-04-22 20:29:40,8,طراح الگوریتم معاملاتی,2020-06-22 03:00:05,C,PT
460,J,False,2020-03-23 17:43:38,2,پشتیبان سایت فروشگاهی وردپرس,2020-05-23 03:00:05,C,FT
461,S,True,2020-04-22 13:00:10,8,برنامه‌نویس PHP,2020-06-22 03:00:05,C,FT
462,S,False,2020-04-22 10:12:14,4,توسعه‌دهنده Back-end,2020-06-22 03:00:05,C,FT
463,J,False,2020-09-08 11:51:22,6,توسعه‌دهنده Front-end,2020-11-08 03:00:10,C,FT
467,S,False,2020-02-15 10:14:41,4,کارشناس تحلیل داده - Data Scientist,2020-04-16 03:00:06,C,FT
468,S,False,2020-04-22 10:11:55,8,مهندس DevOps,2020-06-22 03:00:05,C,FT
469,S,False,2020-01-21 13:05:33,4,برنامه‌نویس FullStack,2020-03-22 03:00:05,C,FT
477,J,False,2020-04-25 17:07:31,6,برنامه‌نویس .NET,2020-06-25 03:00:05,C,FT
484,S,True,2020-04-25 15:09:58,6,"مسلط به Python, Django، WebSocket",2020-04-30 14:01:23,C,PR
489,S,False,2020-09-27 15:31:51,8,برنامه‌‌نویس ارشد وردپرس (آقا-اصفهان),2020-10-04 10:03:58,C,FT
491,S,False,2020-04-04 10:47:06,6,برنامه‌نویس Flutter,2020-06-04 03:00:05,C,FT
492,J,False,2020-05-20 11:54:08,4,برنامه‌نویس وب,2020-07-20 03:00:09,C,FT
494,J,False,2019-12-25 11:10:02,6,توسعه‌دهنده اندروید - Android Developer,2020-02-24 03:00:05,C,FT
495,S,True,2020-04-26 10:36:24,8,مدیریت پروژه,2020-06-26 03:00:06,C,PR
496,S,False,2020-03-25 12:12:42,6,برنامه‌نویس Microsoft Dynamics CRM,2020-05-25 03:00:05,C,FT
499,S,False,2020-02-08 11:19:55,6,توسعه‌دهنده Backend,2020-04-09 03:00:05,C,FT
500,I,False,2019-11-11 13:17:27,3,توسعه‌دهنده Backend,2019-11-26 15:12:06,C,FT
502,S,True,2020-06-01 11:26:17,8,Flutter Developer,2020-08-01 03:00:09,C,FT
508,J,False,2020-04-26 17:57:29,8,(DevOps Engineer (SRE,2020-06-26 03:00:06,C,FT
510,I,False,2019-11-11 11:20:18,3,برنامه‌نویس بک اند,2020-01-11 03:00:07,C,FT
511,J,True,2020-03-26 13:27:55,6,توسعه‌دهنده Front End,2020-05-26 03:00:05,C,PR
512,S,True,2020-03-28 11:26:47,4,برنامه‌نویس اندروید,2020-05-28 03:00:05,C,FT
514,S,False,2020-04-04 14:45:03,12,Senior Back End Developer,2020-06-04 03:00:05,C,FT
519,J,False,2020-04-04 14:45:26,8,برنامه‌نویس یونیتی,2020-06-04 03:00:05,C,FT
523,S,False,2020-06-16 10:19:11,8,برنامه‌نویس Android,2020-08-16 03:00:09,C,FT
526,J,False,2020-07-30 13:59:25,6,برنامه‌نویس PHP,2020-09-29 03:00:10,C,FT
528,J,False,2020-03-31 19:37:50,2,نیروی مسلط به ناپ کامرس,2020-05-31 03:00:05,C,PT
529,S,True,2020-04-15 18:15:28,12,کارشناس ارشد  DevOps,2020-06-15 03:00:05,C,FT
532,S,False,2020-10-18 15:37:22,6,Angular,2020-11-12 06:41:06,C,FT
533,S,False,2020-06-01 11:25:58,6,برنامه‌نویس ASP.NET Core,2020-08-01 03:00:09,C,FT
538,J,True,2020-04-15 18:15:40,8,کارشناس DevOps,2020-06-15 03:00:05,C,FT
539,S,False,2020-02-27 00:48:06,8,برنامه‌نویس PHP,2020-04-27 03:00:05,C,FT
547,J,True,2019-12-14 10:16:24,3,برنامه‌نویس جاوا,2020-02-13 03:00:05,C,PR
551,S,True,2020-02-02 12:33:41,8,برنامه‌نویس PHP,2020-04-03 03:00:05,C,FT
